"ID","Ref_Short","Ref_Long","Type"
"272","Neuhaus 1999","Neuhaus, Helmut, &#60;q&#62;Die Begründung der Leipziger Messe und das Heilige Römische Reich Deutscher Nation in den Jahren 1497/1507&#60;/q&#62;, in &#60;cite&#62;Leipzigs Messen 1497-1997: Gestaltwandel - Umbrüche - Neubeginn, Teilband 1: 1497-1914&#60;/cite&#62;, ed. by Ulrich von Hehl et al. (Cologne, Weimar, Vienna, 1999), 51-60.",
"274","Meyermann 1915","Meyermann, Georg, &#60;q&#62;Die Göttinger Landwehren&#60;/q&#62;, &#60;cite&#62;Göttinger Blätter für Geschichte und Heimatkunde in Südhannover&#60;/cite&#62; (1915), 25-41.",
"276","Fahlbusch 1938","Fahlbusch, Otto, &#60;q&#62;Warten und Landwehren um Göttingen&#60;/q&#62;, &#60;cite&#62;Gabe des Geschichtsvereins für Göttingen und Umgebung&#60;/cite&#62; (1938), 15-44.",
"278","Kühlhorn 1976","Kühlhorn, Erhard, &#60;q&#62;Mittelalterliche Wehranlagen&#60;/q&#62;, in &#60;cite&#62;Historisch-Landeskundliche Exkursionskarte von Niedersachsen, Blatt Moringen, Erläuterungsheft&#60;/cite&#62; (Hildesheim, 1976), 116-152.",
"280","Grote 1925","Grote, Paul, &#60;q&#62;Der Zoll in Northeim&#60;/q&#62;, &#60;cite&#62;Heimatblätter für Northeim und Umgegend&#60;/cite&#62; (1925), 145-147.",
"282","Eggeling 1960","Eggeling, Hans-Henning, &#60;cite&#62;Die wirtschaftliche Entwicklung der Stadt Northeim i. Hann. vom Mittelalter bis zum Ersten Weltkrieg&#60;/cite&#62; (Northeim 1960).",
"284","Eckhardt 1999","Eckhardt, Albrecht, &#60;cite&#62;Wildeshausen. Geschichte der Stadt von den Anfängen bis zum ausgehenden 20. Jahrhundert&#60;/cite&#62; (Wildeshausen, 1999).",
"286","Lindern 1971","Lindern, Georg von, &#60;cite&#62;Kleine Chronik der Stadt Delmenhorst&#60;/cite&#62; (Oldenburg, 1971).",
"288","Mehrtens 1990","Mehrtens, Jürgen, &#60;cite&#62;300 Jahre Delmenhorster Markt&#60;/cite&#62;, Delmenhorster Schriften 14 (Delmenhorst, 1990).",
"290","Eckhardt 1994","Eckhardt, Albrecht, &#60;q&#62;Delmenhorst - Stadt oder Flecken? Stadtrecht und Stadtqualität vom Mittelalter bis um 1700&#60;/q&#62;, in &#60;cite&#62;Streiflichter aus 600 Jahren Delmenhorster Geschichte&#60;/cite&#62;, Delmenhorster Schriften 16 (Delmenhorst, 1994), 9-39.",
"292","Schmidt, Hinrichs 1997","Schmidt, Heinrich and Ernst Hinrichs, &#60;cite&#62;Geschichte der Stadt Oldenburg, Bd. 1: Von den Anfängen bis 1830&#60;/cite&#62; (Oldenburg, 1997).",
"294","Schmidt 1997","Schmidt, Heinrich, &#60;q&#62;Oldenburg um 1380. Ein Beschwerderegister als Quelle zur oldenburgischen Stadtgeschichte im Späten Mittelalter&#60;/q&#62;, in &#60;cite&#62;Struktur und Dimension. Festschrift für Karl Heinrich Kaufhold zum 65. Geburtstag, Bd. 1: Mittelalter und Frühe Neuzeit&#60;/cite&#62;, ed. by Hans-Jürgen Gerhard (Stuttgart, 1997), 372-387.",
"296","Oetken 1722","Oetken, Johann Christoph von, &#60;cite&#62;Corpus constitutionum Oldenburgicarum selectarum...&#60;/cite&#62; (Oldenburg, 1722).",
"298","Limann 1958","Limann, Georg, &#60;q&#62;Der Stau in Oldenburg. Entwicklung des See- und Binnenhafens dieser alten nordwestdeutschen Residenzstadt&#60;/q&#62;, &#60;cite&#62;Oldenburger Jahrbuch&#60;/cite&#62; 57:2 (1958), 1-38.",
"300","Rothmann 1998","Rothmann, Michael, &#60;cite&#62;Die Frankfurter Messen im Mittelalter&#60;/cite&#62; (Stuttgart, 1998).",
"302","Brübach 1996","Brübach, Nils, &#60;q&#62;Die Entstehung und die Frühzeit der Frankfurter Messen. Vom fränkischen Königshof zum &#34;Kaufhaus der Deutschen&#34;&#60;/q&#62;, in &#60;cite&#62;Europäische Messen und Märktesysteme in Mittelalter und Neuzeit&#60;/cite&#62;, ed. by Peter Johanek and Heinz Stoob (Cologne, Weimar, Vienna, 1996), 143-170.",
"304","Sprandel 1986","Sprandel, Rolf, &#60;q&#62;Der Hafen von Hamburg&#60;/q&#62;, in &#60;cite&#62;See- und Flusshäfen vom Hochmittelalter bis zur Industrialisierung&#60;/cite&#62;, ed. by Heinz Stoob (Cologne, Weimar, Vienna, 1986), 193-210.",
"306","Petersen 2015","Petersen, Niels, &#60;cite&#62;Die Stadt vor den Toren. Lüneburg und sein Umland im Spätmittelalter&#60;/cite&#62; (Göttingen, 2015).",
"308","Reinecke 1933","Reinecke, Wilhelm, &#60;cite&#62;Geschichte der Stadt Lüneburg, Bd. 1&#60;/cite&#62; (Lüneburg, 1933).",
"310","Aufgebauer 1990","Aufgebauer, Peter, &#60;q&#62;Einbeck im Mittelalter&#60;/q&#62;, in &#60;cite&#62;Geschichte der Stadt Einbeck, Bd. 1: Von den Anfängen bis zum Ende des 18. Jahrhunderts&#60;/cite&#62;, ed. by Horst Hülse and Claus Spörer (Einbeck, 1990), 73-124.",
"312","Eckhardt 2006","Eckhardt, Albrecht, &#60;cite&#62;Mittelalterliche Städte im Oldenburger Land&#60;/cite&#62; (Oldenburg, 2006).",
"314","Bockhorst 1985","Bockhorst, Wolfgang, &#60;cite&#62;Die Geschichte des Niederstifts Münster bis 1400&#60;/cite&#62; (Münster, 1985).","secondary"
"316","Eckoldt 1980","Eckoldt, Martin, &#60;cite&#62;Schiffahrt auf kleinen Flüssen Mitteleuropas in Römerzeit und Mittelalter&#60;/cite&#62;, Schriften des Deutschen Schiffahrtsmuseums 14 (Oldenburg, Hamburg, Munich, 1980).",
"318","Meineke 2015","Meineke, Birgit (ed.), &#60;cite&#62;Die Ortsnamen des Kreises Minden-Lübecke&#60;/cite&#62;, Westfälisches Ortsnamenbuch VII (Bielefeld 2015).","secondary"
"320","Müller 1968","Müller, Theodor, &#60;cite&#62;Schiffahrt und Flösserei im Flussgebiet der Oker&#60;/cite&#62; (Braunschweig, 1968).",
"322","Petersen; Pischke 2014","Petersen, Niels; Pischke, Gudrun (eds.), &#60;cite&#62;Regionalkarte zur Geschichte und Landeskunde: Blätter Goslar und Bad Lauterberg. Erläuterungsheft&#60;/cite&#62; (Hannover, 2014).","secondary"
"324","Petersen; Reitemeier 2015","Petersen, Niels; Reitemeier, Arnd (eds.), &#60;cite&#62;Regionalkarte zur Geschichte und Landeskunde: Blätter Braunschweig und Salzgitter. Erläuterungsheft&#60;/cite&#62; (Hannover, 2015)","secondary"
"326","Schwarzwälder 1995","Schwarzwälder, Herbert, &#60;cite&#62;Geschichte der Freien Hansestadt Bremen, Bd. 1. Von den Anfängen bis zur Franzosenzeit (1810)&#60;/cite&#62; (Bremen, 1995).",
"328","Dannenberg, Schulze 1995","Dannenberg, Hans-Eckhard, and Heinz-Joachim Schulze (eds.), &#60;cite&#62;Geschichte des Landes zwischen Elbe und Weser, Bd. II: Mittelalter&#60;/cite&#62; (Stade, 1995).",
"330","Schwarzwälder 2003","Schwarzwälder, Herbert, &#60;cite&#62;Das Große Bremen-Lexikon, Bd. 1: A-K&#60;/cite&#62; (Bremen, 2003: 2nd ed.).",
"332","Peters 1962","Peters, Fritz, &#60;cite&#62;Freimarkt in Bremen. Geschichte eines Jahrmarkts&#60;/cite&#62; (Bremen, 1962).","secondary"
"334","Ehbrecht 1993","Ehbrecht, Ulrike, &#60;cite&#62;Die Befestigung der Stadt Duderstadt I. Mauer, Türme, Wall und Landwehr: Ergebnisse der archivalischen Forschung&#60;/cite&#62; (Duderstadt, 1993).",
"336","Bachmann 1987","Bachmann, Elfriede, &#60;q&#62;Von den Anfängen bis 1866&#60;/q&#62;, in &#60;cite&#62;Bremervörde. Bilder aus der Geschichte einer Stadt&#60;/cite&#62; (Bremervörde, 1987), 11-129.",
"338","Hauck 1992","Hauck, Maria, &#60;cite&#62;Geschichte des Dorfes Linden&#60;/cite&#62;, Beiträge zur Geschichte der Stadt Wolfenbüttel 5 (Wolfenbüttel, 1992).",
"340","Brüning; Schmidt 1986","Brüning, Kurt; Schmidt, Heinrich (eds.), &#60;cite&#62;Handbuch der historischen Stätten Deutschlands, Bd. 2: Niedersachsen und Bremen&#60;/cite&#62; (Stüttgart, 1986: 2nd ed.)","secondary"
"342","Vienenburg 1985","Stadt Vienenburg ed., &#60;cite&#62;Vienenburg 50 Jahre Stadtrecht. Rückblick auf 50 Jahre Stadtgeschichte&#60;/cite&#62; (Vienenburg, 1985).",
"344","Feldmann 1985","Feldmann, Hans, &#60;cite&#62;Baltisches historisches Ortslexikon, Teil I: Estland (einschließlich Nordlivland)&#60;/cite&#62;, ed. by Heinz von zur Mühlen (Cologne, Vienna, 1985).",
"346","Allewelt 1975","Allewelt, Werner (ed.), &#60;cite&#62;Beschreibung des Amtes Wolfenbüttel von 1630&#60;/cite&#62;, Quellen zur Wirtschafts- und Sozialgeschichte Niedersachsens in der Neuzeit 3 (Hildesheim, 1975).","edition"
"348","Bockhorst 2008","Bockhorst, Wolfgang, &#60;q&#62;Friesoythe und Altenoythe in der Grafschaft Tecklenburg (bis 1400)&#60;/q&#62;, in &#60;cite&#62;Die Geschichte der Stadt Friesoythe&#60;/cite&#62;, ed. by Albrecht Eckhardt (Oldenburg, 2008), 41-68.",
"350","Hoffmann 2008","Hoffmann, Christian, &#60;q&#62;Friesoythe als fürstbischoflich münsterische Landstadt bis zum Westfälischen Frieden (1400-1648)&#60;/q&#62;, in &#60;cite&#62;Die Geschichte der Stadt Friesoythe&#60;/cite&#62;, ed. by Albrecht Eckhardt (Oldenburg, 2008), 69-122.",
"352","Baumann Sieve 2008","Baumann, Willi, and Peter Sieve, &#60;q&#62;Kurze Übersicht über die Geschichte der ehemals selbständigen Gemeinden (Ortschaften) und der einzelnen Bauerschaften bzw. Ortsteile der Stadt Friesoythe&#60;/q&#62;, in &#60;cite&#62;Die Geschichte der Stadt Friesoythe&#60;/cite&#62;, ed. by Albrecht Eckhardt (Oldenburg, 2008), 653-687.",
"354","Kleinau 1968","Kleinau, Hermann, &#60;cite&#62;Geschichtliches Ortsverzeichnis des Landes Braunschweig&#60;/cite&#62;, Geschichtliches Ortsverzeichnis von Niedersachsen 2 (Hildesheim, 1968).",
"358","Wiemann 1973","Wiemann, Harm, &#60;q&#62;Tausend Jahre aus der Geschichte 800-1823&#60;/q&#62;, in &#60;cite&#62;Leer. Gestern heute morgen&#60;/cite&#62;, ed. by F. J. Mueller (Leer, 1973), 25-63.",
"360","Feldmann 1990","Feldmann, Hans, &#60;cite&#62;Baltisches historisches Ortslexikon, Teil II: Lettland (Südlivland und Kurland)&#60;/cite&#62;, ed. by Heinz von zur Mühlen (Cologne, Vienna, 1990)",
"362","Bakker 1961","Bakker, Hermann, &#60;q&#62;Leer - eine Stadt am Wasser&#60;/q&#62;, in &#60;cite&#62;Land am Meer zwischen Marsch und Moor&#60;/cite&#62;, Beiträge zur Heimatkunde und Geschichte von Kreis und Stadt Leer (Leer, 1961), 37-49.",
"364","Eimers 1993","Eimers, Enno, &#60;cite&#62;Kleine Geschichte der Stadt Leer&#60;/cite&#62; (Leer, 1993).",
"366","Hamacher 1991","Hamacher, Josef, &#60;q&#62;Haselünne, Herzlake, Holte. Eine geschichtliche Betrachtung&#60;/q&#62;, &#60;cite&#62;Jahrbuch des emsländischen Heimatbundes&#60;/cite&#62; 37 (1991), 92-135.",
"368","Wiemann 1962","Wiemann, Harm, &#60;q&#62;Das Kreisgebiet bis zum Beginn der Neuzeit&#60;/q&#62;, in &#60;cite&#62;Heimatchronik des Kreises Leer&#60;/cite&#62; (Cologne, 1962), 49-78.",
"370","Van den Heuvel 1985","Heuvel, Christine van den, &#60;q&#62;Burgmannen und Rat: Die politische Entwicklung Quakenbrücks von 1235 bis 1802&#60;/q&#62;, in &#60;cite&#62;Quakenbrück. Von der Grenzfestung zum Gewerbezentrum&#60;/cite&#62;, ed. by Horst-Rüdiger Jarck (Quakenbrück, 1985), 69-90.",
"372","Hauptmeyer 1985","Hauptmeyer, Carl-Hans, &#60;q&#62;Zur Wirtschaftsgeschichte Quakenbrücks im 13. bis 16. Jahrhundert&#60;/q&#62;, in &#60;cite&#62;Quakenbrück. Von der Grenzfestung zum Gewerbezentrum&#60;/cite&#62;, ed. by Horst-Rüdiger Jarck (Quakenbrück, 1985), 176-186.",
"374","Von Husen 1998","Husen, Ludger von, &#60;q&#62;Burgenbau und Fleckengründung&#60;/q&#62;, in &#60;cite&#62;Flecken Lemförde. Eine 750jährige Gemeinde zwischen Dümmer und Stemweder Berg&#60;/cite&#62;, ed. by Ludger von Husen and Horst Meyer (Diepholz, 1998), 11-19.",
"376","Von Husen 1998","Husen, Ludger von, &#60;q&#62;Fleckenprivilegien und Bürgerordnung. Ein Streifzug durch die Rechtsverhältnisse der Lemförder Bürgerschaft im frühen 17. Jahrhundert&#60;/q&#62;, in &#60;cite&#62;Flecken Lemförde. Eine 750jährige Gemeinde zwischen Dümmer und Stemweder Berg&#60;/cite&#62;, ed. by Ludger von Husen and Horst Meyer (Diepholz, 1998), 37-48.",
"378","Igel 2006","Igel, Karsten, &#60;q&#62;Vom Markt zur Stadt. Meppen vom Übergang an Münster bis zum 15. Jahrhundert&#60;/q&#62;, in &#60;cite&#62;Geschichte der Stadt Meppen&#60;/cite&#62; (Meppen, 2006), 67-96.",
"380","Schipmann 2006","Schipmann, Johannes Ludwig, &#60;q&#62;Zwischen Selbständigkeit und Unterwerfung: Die politische und wirtschaftliche Entwicklung der Stadt von 1400 bis 1612&#60;/q&#62;, in &#60;cite&#62;Geschichte der Stadt Meppen&#60;/cite&#62; (Meppen, 2006), 97-126.","secondary"
"382","Diepenbrock 1962","Diepenbrock, J.B., &#60;cite&#62;Geschichte des vormaligen münsterschen Amtes Meppen&#60;/cite&#62; (Münster, 1885: unchanged reprint, 1962)",
"384","Schöne 1985","Schöne, Armin, &#60;q&#62;Über Märkte und Marktrechte im Raum der alten Grafschaft Diepholz&#60;/q&#62;, &#60;cite&#62;Heimatblätter des Landkreises Diepholz&#60;/cite&#62; (1985), 45-57.",
"386","Guttzeit 1982","Guttzeit, Emil Johannes, &#60;cite&#62;Geschichte der Stadt Diepholz, I. Teil: Von den Anfängen bis zum ersten Jahrzehnt des 17. Jahrhunderts&#60;/cite&#62; (Diepholz, 1982).",
"388","Ehbrecht 1975","Ehbrecht, Wilfried, &#60;q&#62;Von Altenlingen nach Lingen: 975-1150&#60;/q&#62;, in &#60;cite&#62;Lingen 975-1975. Zur Genese eines Stadtprofils&#60;/cite&#62;, ed. by Wilfried Ehbrecht (Lingen, 1975), 18-27.",
"390","Schulte 1975","Schulte, Paul-Günther, &#60;q&#62;De statu villae Linge - Die Stadt Lingen im Rahmen der Herrschaftsbildung der Grafen von Tecklenburg&#60;/q&#62;, in &#60;cite&#62;Lingen 975-1975.  Zur Genese eines Stadtprofils&#60;/cite&#62;, ed. by Wilfried Ehbrecht (Lingen, 1975), 28-41.",
"392","Ehbrecht 1975","Ehbrecht, Wilfried, &#60;q&#62;Zur politischen, sozialen und wirtschaftlichen Entwicklung des tecklenburgischen Amtssitzes&#60;/q&#62;, in &#60;cite&#62;Lingen 975-1975. Zur Genese eines Stadtprofils&#60;/cite&#62;, ed. by Wilfried Ehbrecht (Lingen, 1975), 42-53.",
"394","Abels 1927","Abels, Hermann, &#60;cite&#62;Die Ortsnamen des Emslandes in ihrer sprachlichen und kulturgeschichtlichen Bedeutung&#60;/cite&#62; (Paderborn, 1927).",
"396","Ehbrecht 1979","Ehbrecht, Wilfried, &#60;q&#62;Das Privileg von 1379. Ein Beitrag zum Verhältnis Territorium und Stadt im spätmittelalterlichen Emsland&#60;/q&#62;, in &#60;cite&#62;Nordhorn. Beiträge zur 600jährigen Stadtgeschichte&#60;/cite&#62;, ed. by Clemens v. Looz-Corswarem and Michael Schmitt (Nordhorn, 1979), 35-53.",
"398","Ehbrecht 1984","Ehbrecht, Wilfried, &#60;q&#62;Universitas Civium. Ländliche und städtische Genossenschaftsformen im mittelalterlichen Nordseeküstenraum&#60;/q&#62;, in &#60;cite&#62;Civitatum Communitas. Studien zum europäischen Städtewesen. Festschrift Heinz Stoob zum 65. Geburtstag, Teil 1&#60;/cite&#62;, ed. by Helmut Jäger, Franz Petri and Heinz Quirin (Cologne, Vienna, 1984), 115-145.",
"400","Dolle; Knochenhauer 2012","Dolle, Josef; Knochenhauer, Dennis (eds.), &#60;cite&#62;Niedersächsisches Klosterbuch. Verzeichnis der Klöster, Stifte, Kommenden und Beginenhäuser in Niedersachsen und Bremen von den Anfängen bis 1810&#60;/cite&#62;, 4 Bde (Bielefeld, 2012)","secondary"
"402","Schwarzwälder 2003","Schwarzwälder, Herbert, &#60;cite&#62;Das Große Bremen-Lexikon, Bd. 2: L-Z&#60;/cite&#62; (Bremen, 2003: 2nd ed.)",
"404","Timm Dünzelmann 1990","Timm, Angelika and Anne Dünzelmann, &#60;cite&#62;Hastedt. Ein Dorf wird zum Stadtteil&#60;/cite&#62;, Bd. 4, ed. by Wilhelm D. Rathjen (Bremen, 1990).",
"406","Schmolze","Schmolze, Gerhard, &#60;q&#62;Geschichte&#60;/q&#62;, in &#60;cite&#62;Burg-Lesumer Heimatbuch&#60;/cite&#62; (Bremen), 73-668.",
"408","Penners 1987","Penners, Theodor, &#60;q&#62;Markt und Marktplatz von Osnabrück im Mittelalter. Entstehung und Entwicklung im Lichte der neuen Bodenfunde&#60;/q&#62;, &#60;cite&#62;Osnabrücker Mitteilungen&#60;/cite&#62; 92 (1987), 21-66",
"410","Witthöft 1962","Witthöft, Harald, &#60;cite&#62;Das Kaufhaus in Lüneburg als Zentrum von Handel und Faktorei, Landfracht, Schiffahrt und Warenumschlag bis zum Jahre 1637&#60;/cite&#62; (Lüneburg, 1962).",
"412","Krüger 1951","Krüger, Hermann, &#60;cite&#62;Wittingen. Ein Abriss zur Geschichte der Stadt&#60;/cite&#62; (Wittingen, 1951).",
"414","Schucht 1888","Schucht, H., &#60;cite&#62;Chronik und Heimatskunde des Hüttenortes Oker&#60;/cite&#62; (Harzburg, 1888).",
"416","Reinhardt 1982","Reinhardt, Uta, Erhard Kühlhorn (eds.), &#60;cite&#62;Historisch-Landeskundliche Exkursionskarte von Niedersachsen, Blatt Lüneburg. Erläuterungsheft&#60;/cite&#62; (Hildesheim, 1982).",
"418","Hagedorn 1910","Hagedorn, Bernhard, &#60;cite&#62;Ostfrieslands Handel und Schiffahrt im 16. Jahrhundert&#60;/cite&#62;, Abhandlungen zur Verkehrs- und Seegeschichte 3 (Berlin, 1910).",
"420","Hagedorn 1912","Hagedorn, Bernhard, &#60;cite&#62;Ostfrieslands Handel und Schiffahrt vom Ausgang des 16. Jahrhunderts bis zum westfälischen Frieden (1580-1648)&#60;/cite&#62;, Abhandlungen zur Verkehrs- und Seegeschichte 6 (Berlin, 1912).",
"422","Erler 1972","Erler, Gernot, &#60;cite&#62;Das spätmittelalterliche Territorium Grafschaft Hoya (1202-1582)&#60;/cite&#62;, Dissertation, Göttingen, 1972.",
"424","Eggers 1900","Eggers, Albert, &#60;q&#62;Das Steuerwesen der Grafschaft Hoya&#60;/q&#62;, &#60;cite&#62;Zeitschrift des historischen Vereins für Niedersachsen&#60;/cite&#62; (1900), 1-63.",
"426","Streich 1993","Streich, Brigitte, &#60;cite&#62;Geschichtliches Ortsverzeichnis der Grafschaften Hoya und Diepholz: L-Z&#60;/cite&#62; (Hannover, 1993).",
"428","Eckoldt 1998","Eckoldt, Martin (ed.), &#60;cite&#62;Flüsse und Kanäle. Die Geschichte der deutschen Wasserstrassen&#60;/cite&#62; (Hamburg, 1998).","secondary"
"430","Edel 1909","Edel, Ludwig, &#60;cite&#62;Die Stadtrechte der Grafschaft Bentheim&#60;/cite&#62;, Inaugural-Dissertation, Leipzig, 1909.",
"432","Olthuis 2011","Olthuis, Gerhard, &#60;q&#62;Entstehung der Burg Dinkelrode. In ihrem Schutz entwickelte sich die erste Siedlung&#60;/q&#62;, in &#60;cite&#62;Neuenhaus: Ansichte und Einblicke. Aspekte einer Stadtgeschichte&#60;/cite&#62;, ed. by Ruth Prinz, Peter Koop (Neuenhaus, 2011), 34-39",
"434","Lefers 1972","Lefer, Sinus, &#60;q&#62;Die Stadt Neuenhaus&#60;/q&#62;, in &#60;cite&#62;Der Landkreis Grafschaft Bentheim&#60;/cite&#62;, ed. by Günter Terwey (Oldenburg, 1972, 2nd ed.), 258-261.",
"436","Rothert 1966","Rothert, Hermann, &#60;cite&#62;Geschichte der Stadt Osnabrück im Mittelalter, Bd. 2&#60;/cite&#62; (Osnabrück, 1938: reprint 1966).",
"438","Steinwascher 2006","Steinwascher, Gerd (ed.), &#60;cite&#62;Geschichte der Stadt Osnabrück&#60;/cite&#62; (Belm bei Osnabrück, 2006)","secondary"
"440","Lengen 1980","Lengen, Hajo van, &#60;q&#62;Stadtbildung in Ostfriesland im Mittelalter und in der frühen Neuzeit&#60;/q&#62;, &#60;cite&#62;Niedersächsisches Jahrbuch für Landesgeschichte&#60;/cite&#62; 52 (1980), 39-58",
"442","Militzer 1971","Militzer, Klaus, &#60;q&#62;Die &#34;wic&#34; im Brokmerland und Brokmerrecht&#60;/q&#62;, &#60;cite&#62;Jahrbuch der Gesellschaft für bildende Kunst und vaterländische Altertümer zu Emden&#60;/cite&#62; 51/52 (1971/72), 9-34.",
"444","Moßig 1982","Moßig, Christian, &#60;q&#62;Untersuchungen zur Geschichte des Auricherlandes im späteren Mittelalter&#60;/q&#62;, &#60;cite&#62;Jahrbuch der Gesellschaft für bildende Kunst und vaterländische Altertümer zu Emden&#60;/cite&#62; 62 (1982), 67-86.",
"446","Sack 1847","Sack, Carl Wilhelm, &#60;q&#62;Die Befestigung der Stadt Braunschweig&#60;/q&#62;, &#60;cite&#62;Archiv des Historischen Vereins für Niedersachsen&#60;/cite&#62; N.F. (1847), 213-312.",
"448","Hauptmeyer; Rund; Streich 2007","Hauptmeyer, Carl-Hans; Rundt, Jürgen; Streich, Gerhard (eds.), &#60;cite&#62;Historisch-Landeskundliche Exkursionskarte von Niedersachsen, Blatt Hannover. Erläuterungsheft&#60;/cite&#62; (Bielefeld, 2007).","secondary"
"450","Neitzert 2005","Neitzert, Dieter, &#60;q&#62;Göttingens Wirtschaft, an Beispielen des 15. und 16. Jahrhunderts&#60;/q&#62;, in &#60;cite&#62;Göttingen. Geschichte einer Universitätsstadt, Bd. 1: Von den Anfängen bis zum Ende des Dreißigjährigen Krieges&#60;/cite&#62;, ed. by Dietrich Denecke and Helga-Maria Kühn (Göttingen, 2005), 298-345","secondary"
"452","Segelken 1962","Segelken, Johann, &#60;q&#62;Die Geschichte des Marktwesens in den früheren Herzogtümern Bremen und Verden, 1. Teil&#60;/q&#62;, &#60;cite&#62;Stader Jahrbuch&#60;/cite&#62; N.F. 52 (1962), 143-176.",
"454","Segelken 1964","Segelken, Johann, &#60;q&#62;Die Geschichte des Marktwesens in den früheren Herzogtümern Bremen und Verden (Schluß)&#60;/q&#62;, &#60;cite&#62;Stader Jahrbuch&#60;/cite&#62; N.F. 54 (1964), 155-174.",
"456","Demandt 1975","Demandt, Karl E., &#60;q&#62;Die hessischen Oberweserzölle im 16. und frühen 17. Jahrhundert&#60;/q&#62;, &#60;cite&#62;Hessisches Jahrbuch für Landesgeschichte&#60;/cite&#62; 25 (1975), 223-306.",
"458","Frohse 2018","Frohse, Manfred, &#60;q&#62;Wolfenbüttel als Festungsstadt - von den Anfängen bis Herzog August dem Jüngeren&#60;/q&#62;, in &#60;cite&#62;900 Jahre Wolfenbüttel. Beiträge zur Geschichte unserer Stadt&#60;/cite&#62; (Wolfenbüttel, 2018), 12-21.",
"460","Ellmers 1985","Ellmers, Detlev, &#60;q&#62;Wege und Transport: Wasser&#60;/q&#62;, in &#60;cite&#62;Stadt im Wandel. Kunst und Kultur des Bürgertums in Norddeutschland 1150-1650&#60;/cite&#62;, Ausstellungskatalog Bd. 3 (Stuttgart, Bad Cannstatt, 1985), 243-256.",
"462","Prinz 1960","Prinz, Joseph, &#60;cite&#62;Mimigernaford - Münster. Die Entstehungsgeschichte einer Stadt&#60;/cite&#62;, Geschichtliche Arbeiten zur westfälischen Landesforschung 4 (Münster, 1960).",
"464","Rund 1996","Rund, Jürgen, &#60;cite&#62;Geschichtliches Ortsverzeichnis des Landkreises Gifhorn&#60;/cite&#62; (Hannover, 1996).",
"466","Pischke 1987","Pischke, Gudrun, &#60;cite&#62;Die Landesteilungen der Welfen im Mittelalter&#60;/cite&#62; (Hildesheim, 1987).",
"468","Vogtherr 2009","Vogtherr, Hans-Jürgen, &#60;cite&#62;Tile Hagemanns Uelzen. Eine norddeutsche Kleinstadt am Ende des 16. Jahrhunderts&#60;/cite&#62; (Hannover, 2009).",
"470","Vogtherr 1997","Vogtherr, Hans-Jürgen, &#60;cite&#62;Uelzen. Geschichte einer Stadt im Mittelalter&#60;/cite&#62; (Uelzen, 1997).",
"472","Segner 1994","Segner, Eberhard, &#60;cite&#62;Geschichte der Stadt Hornburg&#60;/cite&#62; (Hornburg Wolfenbüttel, 1994).",
"474","Schmitz 1999","Schmitz, Antje, &#60;cite&#62;Die Siedlungsnamen und Gewässernamen des Landkreises Lüchow-Dannenberg&#60;/cite&#62; (Neumünster, 1999).",
"476","Wachter 1983","Wachter, Bernd, &#60;cite&#62;Aus Dannenberg und seiner Geschichte&#60;/cite&#62;, Schriftenreihe des heimatkundlichen Arbeitskreises Lüchow-Dannenberg 3 (Uelzen, 1983)",
"490","Wiswe 1970","Wiswe, Hans, &#60;q&#62;Handel und Wandel in Wolfenbüttel vor dem dreißigjährigen Kriege&#60;/q&#62;, in &#60;cite&#62;Beiträge zur Geschichte der Stadt Wolfenbüttel&#60;/cite&#62;, ed. by J. König (Wolfenbüttel, 1970), 11-31.",NULL
"492","Weststrate 2008","Weststrate, Job, &#60;cite&#62;In het kielzog der moderne markten. Handel en scheepvaart op de Rijn, Waal en IJssel, ca 1360-1560&#60;/cite&#62; (Hilversum, 2008).",NULL
"494","Pischke 1996","Pischke, Gudrun, &#60;q&#62;Das mittelalterliche Gitter&#60;/q&#62;, in &#60;cite&#62;Gitter. Zwölf Jahrhunderte Geschichte&#60;/cite&#62; (Salzgitter, 1996), 23-47",NULL
"496","Kolbe Forche Humburg 1988","Kolbe, Heinz, Wolfram Forche and Max Humburg, &#60;cite&#62;Die Geschichte der Saline Salzliebenhalle und der alten Salzstadt&#60;/cite&#62; (Salzgitter, 1988).",NULL
"498","Egge 1998","Egge, Reimer, &#60;cite&#62;Es hat auch diese Stadt großen Handel: eine Wirtschafts- und Sozialgeschichte der Stadt Uelzen&#60;/cite&#62; (Uelzen, 1998).",NULL
"500","Heinrichs 1938","Heinrichs, Otto, &#60;cite&#62;Geschichtliches über Fallersleben&#60;/cite&#62; (Fallersleben, 1938)",NULL
"502","Frommeyer 1952","Frommeyer, Hermann, &#60;cite&#62;Die Stadt Fürstenau und ihre Bürgerschaft&#60;/cite&#62; (Fürstenau, 1952)",NULL
"504","Lerch 1979","Lerch, Christoph, &#60;cite&#62;Duderstädter Chronik. Von der Vorzeit bis zum Jahre 1973&#60;/cite&#62; (Duderstadt, 1979)",NULL
"506","Hodemacher 1986","Hodemacher, Jürgen, &#60;cite&#62;Der Landkreis Wolfenbüttel: seine Städte und Dörfer&#60;/cite&#62; (Cremlingen, 1986)",NULL
"510","08-10-2019","&#60;cite&#62; https://mijngelderland.nl/inhoud/verhalen/tolhuis-lobith-in-rijnwaarden &#60;/cite&#62;",NULL
