"ID","Nodes_ID","Name","Continuation_From_ID","From","To","Description","Category","Date","Fixed_Day","Fixed_Month","Weekday","Before_After","Date_Depends_On","Start_Max","Start_Min","End_Min","End_Max"
"402","2177","","","1580","","A fair in Gesmold is mentioned in 1580, which is specified in 1599 as a market for retail and cattle, taking place on Monday after the Exaltation of the Holy Cross.","local","movable","14","9","Monday","after","Fixed date","","","",""
"408","973","","266","1638","","The Autumn market on St Dionysius was prolonged to nine days in 1638.","regional","fixed","9","10","","","","","","8",""
"410","973","","","1638","","Three-day fair on Quasimodogeniti, which replaced the Spring fair in 1638.","regional","movable","","","","","Quasimodo","","","2",""
"412","973","","","1638","","Three-day fair on Ascension Day, which replaced the Spring fair in 1638.","regional","movable","","","","","Ascension","","","2",""
"414","973","","","1638","","Horse fair on Wednesday after Invocavit.","local","movable","","","Wednesday","after","Invocavit","","","2",""
"416","973","","","1638","","Horse fair on the day after St John the Baptist.","local","fixed","25","6","","","","","","2",""
"418","973","","","1638","","Horse fair on the day after the Dispersion of the Apostles.","local","fixed","16","7","","","","","","2",""
"420","973","","","1638","","Fair for foals, two days after St Mauritius.","local","fixed","24","9","","","","","","1",""
"426","2778","","","1350","1555","Fair on St Boniface, first mentioned around 1350. It was replaced by two new fairs in 1556.","regional","fixed","5","6","","","","","","","7"
"428","2778","","","1350","1555","Fair on St Michael, first mentioned around 1350.","regional","fixed","29","9","","","","","","","7"
"430","2778","","","1350","1555","Fair ""tho der hoighen kerkemisse"" on All Saints, first mentioned around 1350.","regional","fixed","1","11","","","","","","","7"
"432","2778","","428","1556","","St Michael's fair is mentioned on Monday after St Michael in 1556.","regional","movable","29","9","Monday","after","Fixed date","","","","7"
"434","2778","","430","1556","","The All Saints' fair is mentioned as taking place on Monday after All Saints in 1556.","regional","movable","1","11","Monday","after","Fixed date","","","","7"
"436","2778","","426","1556","","Fair on Monday after Letare, first mentioned in 1556.","regional","movable","","","Monday","after","Letare","","","","7"
"438","2778","","","1556","","Fair on the second Monday after Trinity Sunday, first mentioned in 1556.","regional","movable","","","Monday","after","Sacramentum","","","","7"
"440","975","","","1582","","Fair on Ascension Day.","local","movable","","","","","Ascension","","","","2"
"442","2036","","286","1565","","Fair on St Matthew, founded in 1565.","local","fixed","21","9","","","","","","",""
"444","2036","","288","1565","","Fair on the holiday of the Ten thousand martyrs, founded in 1565.","local","fixed","22","6","","","","","","",""
"446","4202","","","1300","","Fair on the Birth of St John the Baptist, founded in the 14th century.","local","fixed","24","6","","","","","","",""
"448","4202","","","1300","","Fair on the Dedication day on the Exaltation of the Holy Cross, which came into existence in the 14th century.","local","fixed","14","9","","","","","","",""
"450","4881","","372","1497","","The main fair in Meppen, previously on St Michael, was held on St Simon and Jude in 1497.","local","fixed","28","10","","","","","","",""
"454","4881","","376","1578","","Cattle fair on the day after St George","local","fixed","24","4","","","","","","",""
"456","4881","","378","1578","","Cattle fair on St Victor's eve","local","fixed","9","10","","","","","","",""
"458","1429","","","1525","1576","Fair on three days before and after the Day of Our Lady. It was replaced by a new market in 1577.","local","fixed","15","8","","","","","-2","2",""
"460","1429","","","1525","1576","Fair on three days before and after St Dionysius. It was replaced by a new fair in 1577.","local","fixed","9","10","","","","","-2","2",""
"464","1429","","","1577","1613","Cattle fair on Monday after Palm Sunday. In a confirmation of the market privileges from 1614, it is not mentioned any more.","local","movable","","","Monday","after","Palmarum","","","",""
"466","1429","","","1577","","Cattle fair on the day after St Matthew. It was confirmed in 1614.","local","fixed","22","9","","","","","","",""
"470","9038","","","1378","","On the day of Mary Magdalene, a dedication day of the chapel with a retail fair took place. The market remained in place after the chapel was destroyed in 1519, but is first mentioned certainly only in 1653.","local","fixed","22","7","","","","","","",""
"472","4475","","","1401","","Fair of St Walpurgis","local","fixed","1","5","","","","","","",""
"476","5704","Herrenmesse","358","1491","","The ""Herrenmesse"", originally on St Crispin and Crispinian, was later moved to 1 October, probably after the disappearance of the ""new"" market, 1491 at the latest.","regional","fixed","1","10","","","","","","3",""
"478","8757","","","1613","","Fair on Sunday before St Michael.","local","movable","29","9","Sunday","before","Fixed date","","","",""
"480","8005","","","985","1619","Fair on the Dedication day of the cathedral, which was confirmed in 1491, 1515 and 1535. The 1491 privilege mentions fourteen days before St Walpurga as date.","local","fixed","17","4","","","Quasimodo","","","",""
"484","7321","","","1038","","Fair on St James's Day, mentioned to have a duration of 14 days in 1692.","regional","fixed","25","7","","","","","","","13"
"486","7321","","","1593","","Fair on Tuesday after Easter, which is mentioned to have had a duration of 8 days in 1692.","local","movable","","","Tuesday","after","Easter","","","","7"
"488","7321","","","1593","","Horse market on Letare Sunday.","local","movable","","","","","Letare","","","",""
"490","1154","","","1287","","Fair on St Lawrence. Later it was connected to a horse market.","local","fixed","10","8","","","","","","2",""
"492","1154","","","1420","","Fair on St Martin's day. It lasted for 14 days in the 16th century.","regional","fixed","11","11","","","","","","13",""
"494","1154","","","1474","1573","A horse market was founded in 1474, which was connected to a fair on St Peter and Paul's Day. The horse market was moved to Wednesday before Palm Sunday in 1511, but the Peter and Paul fair remained in existence until 1573.","local","fixed","29","6","","","","","","2",""
"496","1154","","","1511","","The horse market was moved to Wednesday before Palm Sunday in 1511 and lasted a week.","regional","movable","","","Wednesday","before","Palmarum","","","6","7"
"498","1154","","","1531","1582","Fair on Thursday and Friday before Palm Sunday.","local","movable","","","Thursday","before","Palmarum","","","1","2"
"500","1154","","498","1583","","The Palm Sunday fair was moved to the entire week after Judica in 1583.","regional","movable","","","Monday","after","Judica","","","6",""
"502","1154","","","1559","","A Pentecost market is mentioned in 1559.","local","movable","","","","","Pentecost","","","2",""
"508","8036","","","1450","1541","A fair on the dedication day of the local church on the day after the Nativity of Mary existed since pre-Reformation times, possibly since Visselhövede acquired borough ('weichbild') privileges.","local","fixed","8","9","","","","","","",""
"510","8036","","508","1542","","The fair on dedication day was moved to the Sunday after the Nativity of Mary in 1542.","local","movable","8","9","Sunday","after","Fixed date","","","",""
"512","7894","","","1584","","Fair on dedication day on the Day of the Nativity of Mary, attested since the late 16th century.","local","fixed","8","9","","","","","","",""
"514","7894","","","1584","","Fair on Sunday Invocavit, first attested in the late 16th century.","local","movable","","","","","Invocavit","","","",""
"516","3213","","","1552","","Fair on St Walpurga's day.","local","fixed","1","5","","","","","","",""
"518","3213","","","1552","","Fair on Sunday before St Martin","local","movable","11","11","Sunday","before","Fixed date","","","",""
"520","1330","","","1293","","Three-day fair on the Birth of St Mary, which already existed in 1365","local","fixed","8","9","","","","","","2",""
"522","1330","","","1365","","Dannenberg acquired a second fair in 1365, in the week after Easter.","local","movable","","","Monday","after","Easter","","","",""
"526","8580","","","1570","1583","Fair in the Neustadt on 9 May.","local","fixed","9","5","","","","","","",""
"528","8580","","","1570","1583","Fair in the Neustadt on 4 November.","local","fixed","4","11","","","","","","",""
"530","8580","","","1584","1601","Twelve-day fair on 14 January, granted in 1584, abolished in 1601.","local","fixed","14","1","","","","","","11",""
"532","8580","","526","1584","1601","The spring fair was moved to 14 April in 1584 and prolonged to twelve days.","local","fixed","14","4","","","","","","11",""
"534","8580","","","1584","1601","Twelve-day fair on 14 July, granted in 1584, abolished in 1601.","local","fixed","14","7","","","","","","11",""
"536","8580","","528","1584","1601","The autumn fair was moved to 14 November in 1584 and prolonged to twelve days.","local","fixed","14","11","","","","","","11",""
"538","8580","","532","1602","","Due to the failure of the project to develop Wolfenbüttel into a major trade hub, the spring market was moved to 5 May in 1602 and its duration shortened to eight days.","local","fixed","1","5","","","","","","7",""
"540","8580","","536","1602","","Due to the failure of the project to develop Wolfenbüttel into a major trade hub, the autumn market was moved to 5 November in 1602 and its duration shortened to eight days.","local","fixed","5","11","","","","","","7",""
"542","1911","","","1573","","Fair on Misericordia Sunday.","local","movable","","","","","Misericordia","","","",""
"544","1911","","","1573","","Fair on Sunday after St Lawrence.","local","movable","10","8","Sunday","after","Fixed date","","","",""
"546","1911","","","1573","","Fair on 14 days after St Martin.","local","fixed","24","11","","","","","","",""
"548","2049","","","1495","","Bishop Konrad IV of Osnabrück granted a five-day fair in 1495, from Saturday before St Michael until the following Wednesday.","local","movable","29","9","Saturday","before","Fixed date","","","4",""
"550","8005","","","1491","","Fourteen days before St Bartholomew","local","fixed","21","8","","","","","","",""
"552","8005","","","1491","","Eight days before St Bartholomew","local","fixed","17","8","","","","","","",""
"554","8005","","480","1620","","In 1620, Quasimodogeniti was mentioned as day of the fair on the Dedication day of the cathedral.","local","movable","","","","","Quasimodo","","","",""
"556","273","","","1582","","Eight days after Pentecost","local","movable","","","","","Trinitatis","","","",""
"558","273","","","1582","","Birth of Mary","local","fixed","8","9","","","","","","",""
"560","2151","","","1354","","Restoration of the market on the old date in autumn.","regional","fixed","21","","","","","","-7","7",""
"562","2151","","","1349","1354","","regional","fixed","24","6","","","","","-7","7",""
"564","2151","","","1559","","","regional","fixed","","","","","","","","",""
"566","2151","","","1571","","","regional","movable","","","","","Misericordia","","","",""
"568","7374","","","1290","","","local","fixed","25","6","","","Cantate","","","",""
"570","7374","","","1290","","","local","movable","","","","","Cantate","","","",""
"572","7374","","","1290","","","local","fixed","29","9","","","","","","",""
"574","7374","","","1290","","","local","fixed","25","11","","","","","","",""
"576","3267","","","1310","","","local","fixed","25","2","","","","","","",""
"578","3267","","","1310","","","local","fixed","25","7","","","","","","",""
"580","3267","","","1310","","","local","fixed","14","9","","","","","","",""
"586","4622","","","1398","","Fair on Sunday Oculi.","local","movable","","","","","Oculi","","","",""
"588","4622","","","1398","","Fair on the Exaltation of the Holy Cross (Crucis)","local","fixed","14","9","","","","","","",""
"590","9595","","","1440","","14 days after Pentecost (Caland)","local","movable","","","Sunday","after","Trinitatis","","","",""
"594","9595","","","1440","","Market on the dedication day of St Magnus Church, held on St Bartholomew. Later moved to September.","local","fixed","24","8","","","","","","",""
"598","8185","","","1366","","St Matthew","local","fixed","25","2","","","","","","2",""
"600","8185","","","1366","","Monday after Ascension day","local","movable","","","Monday","after","Ascension","","","2",""
"602","8185","","","1366","","St James","local","fixed","25","7","","","","","","2",""
"604","8185","","","1366","","St Simon and Juda","local","fixed","27","10","","","","","","2",""
"606","8185","","","","","St Michael in the old town","local","fixed","29","9","","","","","","",""
"608","3934","","","1480","","Fair on St Bartholomew's Day","local","fixed","24","8","","","","","","",""
"610","2765","","","1128","","Mention in a recommendation of bishop Otto of Bamberg, who recommends buying wares during the fair of Halle. Furter mentions around 100 years later as the fair to the Nativity of Mary (8th September).","local","fixed","8","9","","","","","-3","3",""
"612","5092","","","1317","1638","Fair held on St. Kilian's day. Its date changed slightly. It could have lasted until St. Margaret's on 22nd July.","regional","fixed","8","7","","","","","","7",""
"614","5092","","","","","Fair held on Exaudi, on the Upper Market.","regional","movable","","","Monday","after","Exaudi","","","7",""
"616","5092","","","","","Fair held on Michaelis.","regional","fixed","19","7","","","","","","7",""
"618","5092","","","1638","","Mention of a fair on the Blobach.","local","fixed","","","","","","","","",""
"620","5460","","","1100","","Fair on the Elevation of the Holy Cross","local","fixed","3","5","","","","","","","3"
"622","5460","","","1100","","Fair on the Exaltation of the Holy Cross","local","fixed","14","9","","","","","","","3"
"624","5165","Peter-Pauls-Markt","","1278","1833","Fair on St. Peter and Paul's day. The fair was moved from Zeitz to Naumburg together with the episcopal seat in the 11. century. Since the 16th century, the Naumburg Peter-and-Paul's market is largely included in the fair system of Leipzig, which effectively leads to four important fairs within the region of Leipzig.","regional","fixed","29","6","","","","","","4",""
"626","5165","","","1278","1667","First mentioned in 1278 but we only get some information on the fair in a confirmation from 1514. Therein, the fair was moved from Holy Thursday to sexagesimae, but Leipzig protested fiercely. The fair was never held on that date and had to be cancelled in 1667. Another fair on Palm Sunday was allowed by Leipzig, but the extended privileges given to an interregional fair such as the Peter-Pauls-fair were forbidden. It is known until today as the Topfmarkt and was moved to Firday after Easter in 1894.","local","movable","","","Thursday","before","Easter","","","",""
"630","3411","","","1354","","","local","movable","","","","","Cantate","","","",""
"632","3411","","","1435","","Merely indirect datation possible: probably on the 28th October.","local","fixed","28","10","","","","","","",""
"634","3411","","","1486","","On 20th June 1486, the electoral prince granted the right to have a cattle market – there are no reports as to its dates though.","local","fixed","","","","","","","","",""
"636","3411","Aegidienmarkt","","1492","","The fair on St. Aegis' day was confirmed in 1648 and 1686 after the 30-year war. ","regional","fixed","1","9","","","","","-2","2",""
"638","8752","Brüdermarkt/Brüderablass","","1252","","Fair connected to the church consecration festival in Zeitz. Only locals are allowed to trade at first, in 1532 trade by non-locals is allowed.","local","movable","","","","","Ascension","","","",""
"644","8752","","","1484","","Bishop Dietrich grants the town a fair in 1484. It begins at St. Vitri's and is supposed to last 4 days.","regional","fixed","15","6","","","","","","4",""
"646","8752","","","1593","1600","Chapter administrator duke August grants another market to the town in 1593, which is set to the Tuesday after Jacobi in 1601.","local","movable","25","7","Tuesday","after","Fixed date","","","",""
"648","1737","","","1300","","Fair at St. George's Church on Letare Sunday.","local","movable","","","","","Letare","","","",""
"650","1737","","","1300","","Fair at Our Lady's Church on St John's Day.","local","fixed","24","6","","","","","","",""
"652","1737","","","1300","","Fair at St Nicholas's Church on St Matthew's Day.","local","fixed","21","9","","","","","","",""
"654","10265","","","1413","","The first mention of the market in Ringsted, held at Skt. Hans day (23. june), from 1413, mentions it as a horse market. The market was also held at harvest at Vor Frue Dag (8. sept.).","local","fixed","23","6","","","","","","",""
"656","10265","","","1413","","The first mention of the market in Ringsted, held at Skt. Hans day (23. june), from 1413, mentions it as a horse market. The market was also held at harvest at Vor Frue Dag (8. sept.).","local","fixed","8","9","","","","","","",""
"658","8853","Saint Walpurgis fair","","1294","","The Saint Walpurgis fair is also known as the May market. This is the only fair in Guelders with, to a limited extent, a supraregional function. At least from the early sixteenth century onwards, it was primarily an oxen fair. ","regional","fixed","1","5","","","","","","7",""
"660","8853","","","1316","","This fair took place around Saint Bartholomew's Day. The privileges for this fair were granted 1316 by Count Reginald I of Guelders. The fair functioned at least until 1543. ","regional","fixed","24","8","","","","","-7","7",""
"662","8853","","","1420","","This fair took place eight days before the day before the feast day of Saint Vitus and Saint Modestus. The rights were given by duke Reginald IV of Guelders in 1420. The creation of this fair and another one in the same year was motivated by the worsening of the town’s trading position. Over a period of ten years, in combination with staple rights on goods transported from Lochem to Zutphen over the Berkel river, this ducal gesture had a positive effect on market trade in Zutphen.","local","fixed","6","6","","","","","","",""
"664","8853","","","1420","","This fair took place eight days before the day before All Saints' Day. The rights were given by duke Reginald IV of Guelders in 1420. The creation of this fair and another one in the same year was motivated by the worsening of the town’s trading position. Over a period of ten years, in combination with staple rights on goods transported from Lochem to Zutphen over the Berkel river, this ducal gesture had a positive effect on market trade in Zutphen.","local","fixed","23","10","","","","","","",""
"666","8853","","","1464","","This fair took place on the day of the Birth of Saint John. Indirect testimonies show that the rights to hold this fair were given to Zutphen in 1464/1465, together with the rights for three other fairs. No documents of these grants have been saved; it is uncertain if they have ever been actually issued. The fair took place at the same day as a fair in Deventer, and it's institution is probably related to a trade war between Deventer and towns in Holland. ","regional","fixed","24","6","","","","","","",""
"668","8853","","","1464","","This fair took place on Saint James' Day. Indirect testimonies show that the rights to hold this fair were given to Zutphen in 1464/1465, together with the rights for three other fairs. No documents of these grants have been saved; it is uncertain if they have ever been actually issued. The fair took place at the same day as a fair in Deventer, and it's institution is probably related to a trade war between Deventer and towns in Holland. ","local","fixed","25","7","","","","","","",""
"670","8853","","","1464","","This fair took place on Saint Michael's Day. Indirect testimonies show that the rights to hold this fair were given to Zutphen in 1464/1465, together with the rights for three other fairs. No documents of these grants have been saved; it is uncertain if they have ever been actually issued. The fair took place at the same day as a fair in Zwolle. It's institution is probably related to a trade war between Deventer and towns in Holland. ","regional","fixed","29","9","","","","","","",""
"672","8853","","","1464","","This fair took place on Saint Martin's Day or Saint Lebuinus' Day. Indirect testimonies show that the rights to hold this fair were given to Zutphen in 1464/1465, together with the rights for three other fairs. No documents of these grants have been saved; it is uncertain if they have ever been actually issued. It's institution is probably related to a trade war between Deventer and towns in Holland. ","regional","fixed","11","11","","","","","","","1"
"674","8853","","","1522","","This fair took place at Saint Gregory's Day. The rights for this fair were granted by Charles, duke of Guelders, in 1522. ","regional","fixed","12","3","","","","","","",""
"676","186","","","1419","","Altenburg receives an eight-day fair from rogation sunday until exaudi from margrave Wilhelm.","regional","movable","","","","","Vocem","","","8",""
"680","8763","","","1487","1501","Fair on St Bartholomew.","regional","fixed","24","8","","","","","","3",""
"682","8763","","","1487","1545","Fair on St Dionysius.","local","fixed","9","10","","","","","","",""
"684","8763","","682","1546","","Fair on St Ursula","local","fixed","6","10","","","","","","",""
"686","10532","","","","","Cattle market on John Baptiste","local","fixed","24","6","","","","","","",""
"688","10532","","","1479","","Cattle market on St. Michael's day","local","fixed","29","9","","","","","","",""
"690","10532","","","1479","","Cattle market on All Saint's day.","local","fixed","1","11","","","","","","",""
"692","186","","","1437","","In 1437, Altenburg has a fair on the day of the nativity of Mary. It is not clear whether it was held on the same day every year.","local","fixed","8","9","","","","","","",""
"694","1257","","","1535","","Fair during the rogation days.","local","movable","","","Wednesday","before","Ascension","","","",""
"696","1257","","","","","Fair on St. Gallus' day.","local","fixed","16","10","","","","","","",""
"698","4850","Michaelismarkt","","933","","Michaelismarket, already held around the foundation of the city.","local","fixed","29","9","","","","","","3",""
"700","4850","Baschemarkt","","","","Fair on the day of St. Fabian and Sebastian.","local","fixed","20","1","","","","","","",""
"702","4850","Martinijahrmarkt","","1007","1683","Fair on St. Martin's day to commemorate the consecration of St. Martin's church.","local","fixed","11","11","","","","","","",""
"704","4850","Klostermarkt","","1242","","Cloister-market or Brüder-Kirchweih-market","local","movable","","","","","Cantate","","","",""
"706","4850","Kapitelmarkt/Sensenmarkt","","1278","1902","Fair to commemorate the second consecration of the parish church, held until today (?) in the third week after Pentecost on the second Trinitatis sunday.","local","movable","","","","after","Pentecost","","","",""
"708","4850","Kirchweih-Jahrmarkt","","1336","1550","Consecration-fair","local","movable","","","","","Quasimodo","","-1","1",""
"710","4850","Burkhardi-Jahrmarkt/Zwickmarkt","","1344","","Fair for the commemoration of the bestowal of town rights to Meiningen by emperor Ludwig the Bavarian.","local","fixed","","","","","","","","",""
"712","4850","Maria-Magdalenenmarkt/Kirschenmarkt","","1384","","Fair for the commemoration of the consecration of a chapel built on the remains of the synagogue, which had been razed in 1349.","local","fixed","22","7","","","","","","",""
"714","4850","","","1612","","Horsemarket, moved to Tuesday after Invocavit later and held as a regular fair until the 20th century.","local","movable","","","Monday","after","Reminiscere","","","",""
"718","5972","","","1532","","fair on Johannis Baptista","local","fixed","24","6","","","","","","",""
"720","4337","","234","1466","","Extension of the New Year's market by princely electorate Friedrich III. by two days. The market was eight days long now. In 1497 the fair was confirmed by Maximilian I. (who hadn't been crowned emperor at this point!) including safe conduct of three weeks, in 1507 extended by a ban zone ('Bannmeile') of 15 miles and a staple.","regional","fixed","","","","","","","","8",""
"722","8274","","","","1581","Fair was held on St. Peter and Paul's day","local","fixed","29","6","","","","","","",""
"724","8274","","722","1582","1863","In 1582, duke August of Saxony grants Weißensee a horsemarket and fair on Laetare Sunday and the following Monday","local","movable","","","","","Letare","","","1",""
"726","8274","","","","1863","Fair on the second Sunday after St. Margaret","local","movable","13","7","Sunday","after","Fixed date","","","",""
"728","8274","","","","1863","Fair on the third Sunday after St. Gallus'","local","movable","16","10","Sunday","after","Fixed date","","","",""
"730","9616","","","1390","","Sunday before the Ascension of St Mary","local","movable","15","8","Sunday","before","Fixed date","","","",""
"732","9616","","","1390","","Sunday before St Martin","local","movable","11","11","Sunday","before","Fixed date","","","",""
"734","10947","","","1613","","Fair on St Simon and Jude","local","fixed","28","10","","","","","","",""
"736","11020","","","1541","","Three-day fair on eight days before St Vitus","local","fixed","8","6","","","","","","2",""
"738","11020","","","1541","","Three-day fair on eight days before St Michael, to which a cattle market was connected.","local","fixed","22","9","","","","","","2",""
"740","11020","","","1570","","Horse fair on the Dispersion of the Apostles","local","fixed","15","7","","","","","","",""
"742","1484","St. Gallus","","1294","","At least since 1294/95 until at least 1543, a fair took place on St. Gallus Day (16 October). ","regional","fixed","16","10","","","","","","",""
"744","1484","","","1340","1495","In 1340, a fair is being granted by Reginald (Reinald) I, count of Guelders and Zutphen. It lasts eight days from Wednesday before St. Margaret's Day onward. In 1496, Charles, duke of Guelders, grants permission to the town magistrate of Doesburg to shift the fair to 21 April (St. George's Day). This might have had to do with a fair granted in 1364/65 to Zutphen, which took place in July as well. ","regional","movable","13","7","Wednesday","before","Fixed date","","","7",""
"746","1484","","744","1496","","In 1340, a fair is being granted by Reginald (Reinald) I, count of Guelders and Zutphen. It lasts eight days from Wednesday before St. Margaret's Day onward. In 1496, Charles, duke of Guelders, grants permission to the town magistrate of Doesburg to shift the fair to 21 April (St. George's Day). This might have had to do with a fair granted in 1364/65 to Zutphen, which took place in July as well. ","regional","fixed","21","4","","","","","","7",""
"748","1485","","","1294","","Doetinchem had at least since 1294/95 a fair on St. Catharine’s Day (25 November). The duration of this fair is unknown.","local","fixed","25","11","","","","","","",""
"750","11044","","","1500","","Eight-day fair on St Vitus, which goes back to Catholic times. Important was the market with wood and timber, which lasted often up to 14 days. Because the wood was transported over the water, the fair took place outside of the dikes.","local","fixed","15","6","","","","","","7","13"
"752","11045","","","1588","1619","Three-day fair on Sunday Cantate. In 1620, it is not mentioned any more.","local","movable","","","","","Cantate","","","2",""
"754","11045","","","1588","1619","Three-day fair on Sunday after St Bartholomew. In 1620, it is not mentioned any more.","local","movable","24","8","Sunday","after","Fixed date","","","2",""
"756","11045","","","1620","","Fair on Sunday after St George","local","movable","23","4","Sunday","after","Fixed date","","","",""
"758","11045","","","1620","","Fair on Sunday after Trinity Sunday","local","movable","","","Sunday","after","Trinitatis","","","",""
"760","11045","","","1620","","Fair on Sunday before All Saints' Day","local","movable","1","11","Sunday","before","Fixed date","","","",""
"762","11047","","","1588","","Fair for commodities and wood on Tuesday before St Michael. First attested in 1724, but probably granted around 1588.","local","movable","29","9","Tuesday","before","Fixed date","","","",""
"764","11055","","","1588","","Fair on the second Sunday before St Michael","local","movable","22","9","Sunday","before","Fixed date","","","",""
"766","11050","","","1632","","Fair on Thursday after Easter. In 1640 indicated with a duration of 14 days.","local","movable","","","Thursday","after","Easter","","","13",""
"768","8763","","680","1502","","The Bartholomew fair is prolonged by 2 days from 3 to 5 by emperor Maximilian in 1502.","local","fixed","24","8","","","","","","5",""
"770","1741","","","1521","1690","This fair was established on St. Veit's day in 1521. Even though Leipzig protested and was boycotted by duke Georg of Sachsen, it was held in the years 1521, 1583, 1617, 1619, 1637, 1660 and 1690.","local","fixed","15","6","","","","","","",""
"772","1741","","","1422","","Fair on Sunday after Mauritius' day","local","fixed","22","9","","","Vocem","","","",""
"774","1741","","","1422","","Fair on Reminiscere","local","movable","","","","","Reminiscere","","","",""
"776","1741","","","1422","","Fair on sunday after St. Gallus' day","local","fixed","16","10","","","","","","",""
"778","848","","","1637","","Fair on Sunday after St. Margaret's day.","local","movable","13","7","Sunday","after","Fixed date","","","",""
"780","3455","","","1556","","In 1556 the cattle market and fair was to be moved from 8 days before St. Laurentius' day to the thursday after St. Laurentius' day.","local","movable","10","8","Thursday","after","Fixed date","","","",""
"782","8655","","","1558","1558","In 1558 the council of Wurzen proclaimed to hold a fair, which had been granted by the bishop of Meißen. Leipzig protested and electorate prince August commanded the bishop of Meißen to cancel the fair.","local","fixed","","","","","","","","",""
"788","10767","","","1609","","In 1609 electoral prince Christian II. granted two new fairs to Wahrenbrück, one day before the fair a cattle market and a day before that a general market was to be held.","local","fixed","23","6","","","","","-2","",""
"790","10767","","","1609","","In 1609 electoral prince Christian II. granted two new fairs to Wahrenbrück, one day before the fair a cattle market and a day before that a general market was to be held. This fair was to be held on Sunday after St. Lucia's day.","local","fixed","13","12","","","","","-2","",""
"792","4222","","","1612","","Leipzig accepted this fair in Landsberg after it had assured that it wouldn't move against Leipzig's fair or staple privileges.","local","fixed","","","","","","","","",""
"794","961","","","1624","","Fair on Sunday before Simonis and Judae.","local","fixed","28","10","","","","","","",""
"796","961","","","1624","","Fair on Judica Sunday","local","movable","","","","","Judica","","","",""
"798","6200","","","1628","1650","Fair on the Eselstedter meadow at Querfurt. It stopped during the 30-year war.","local","movable","","","Thursday","after","Easter","","","",""
"800","8862","","","1630","","Fair, cattle, and butter market.","local","fixed","17","9","","","","","","2",""
"802","7760","","","1514","","Fair on Misericordias Domini.","local","movable","","","","","Misericordia","","","",""
"804","7760","","","1514","","Fair on St. Matthew's day","local","fixed","21","9","","","","","","",""
"806","2002","","","1263","","Heinrich der Erlauchte verleiht Freiberg 1263 einen 14-tägigen Markt","regional","fixed","","","","","","","","",""
"808","8879","","26","1465","","St. Peter (horse fair), in and some time before 1464 held on 25 or 26 June.","local","fixed","29","6","","","","","","",""
"810","296","","","1294","","At least from 1294/95 onward, a fair was being held on Midfast. Around the middle of the fourtheenth century, town accounts of Deventer mention a fair in Arnhem 'in festo Palmarum' or '(in) Palmis', which could refer to the Mid-Fast fair. If this is true, it lasted at least two weeks. According to Z.W. Sneller, the Arnhem Palm Sunday fair was only short-lived and ceased to function altogether in the same century. In 1386, it is still mentioned. ","regional","movable","","","","","Letare","","","",""
"812","296","","","1294","","From at least 1294/95 onward, a fair was held on the Feast of the Birth of St. Mary. ","regional","fixed","8","9","","","","","","",""
"814","296","","","1294","","At least from 1294/95 a fair was being held on St. Martin. In 1240, this fair is mentioned a few days earlier on St. Willibrord (7 November). St. Martin's fair probably lasted at least three weeks. It was, at least at the beginning of the fifteenth century, visited by merchants from Deventer. ","regional","fixed","11","11","","","","","","","21"
"816","296","","","1459","","In 1459, Arnold, duke of Guelders, granted a cattle fair to Arnhem. The fair would be held on the day before St. Luke. This grant alarmed the towns of Deventer, Kampen and Zwolle. ","regional","fixed","17","10","","","","","","",""
"818","1753","","","1397","","In 1297, William I, duke of Guelders, granted the right to hold a fair eight days after the Sunday after Easter to Elburg. ","regional","movable","","","","","Misericordia","","-7","7",""
"820","1753","","","1397","","In 1397, William I, duke of Guelders, granted the right to hold a fair on St. Gallus, lasting eight days before and eight days after the fair date. Its ‘market freedom’ was based on the example of Arnhem.The Duke ordered his officials to ensure that eight days before and three days after the fair of St. Gallus, no-one was to transport his commodities to a market or fair other than Elburg’s. These measures should protect the fair of Elburg from the cattle fair in Arnhem, starting just one day after the Elburg fair. ","regional","fixed","16","10","","","","","-7","7",""
"822","2807","","","1294","","At least from 1294/95 onward, a fair was being held on Pentecost. On the occasion of the re-granting of the town privileges of Harderwijk in 1312, it was allowed that the fair be held for a maximum of fourteen days. It is highly questionable whether this 1312 stipulation has ever had any real value.","regional","movable","","","","","Pentecost","","","","14"
"824","2807","","","1424","","In 1424, Harderwijk was granted a second fair on Reminiscere-Midfast. A municipal degree ordained the merchandise in this fair to be toll-free.","regional","movable","","","","","Reminiscere","","","13",""
"826","2807","","","1524","","Around 1524, there was a specialized oxen fair besides the two existing fairs on October 6th.","regional","fixed","6","10","","","","","","6","9"
"828","2862","","","1353","","In 1353, Duchess Alianora (second wife of Reinald (Reginald) II), Lady of the Veluwe, granted a fair on Sunday before Pentecost. ","local","movable","","","","","Palmarum","","","",""
"830","2862","","","","","In 1353, Duchess Alianora (second wife of Reinald (Reginald) II), Lady of the Veluwe, granted a fair on 11.000 Virgins. ","local","fixed","21","10","","","","","","",""
"832","8114","","","1294","","From at least 1294/95 onward, Wageningen had one fair on St. James. In 1312, the duration of this fair was fixed on eight days before St. James and eight days after St. James. It is highly questionable whether this 1312 stipulation had any real value: possibly, these stipulations have never been active.","local","fixed","25","7","","","","-7","","","7"
"834","6505","","","","1498","","local","fixed","1","5","","","","","","",""
"836","6505","","834","1499","","","local","fixed","14","10","","","","","","",""
