"ID","Parent_ID","Name","Alternative_Name","Latitude","Longitude","Geonames_ID","Ready","Is_Settlement","Settlement_From","Settlement_To","Settlement_Description","Is_Town","Town_From","Town_To","Town_Description","Is_Toll","Toll_From","Toll_To","Toll_Description","Is_Staple","Staple_From","Staple_To","Staple_Duration_Of_Stay","Staple_Description","Is_Fair","Fair_From","Fair_To","Fair_Description","Is_Ferry","Ferry_From","Ferry_To","Ferry_Description","Is_Bridge","Bridge_From","Bridge_To","Bridge_Description","Is_Harbour","Harbour_From","Harbour_To","Harbour_Description","Is_Lock","Lock_From","Lock_To","Lock_Description"
"1450","","Dippelsdorf","","51.140136","13.661338","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1451","","Dippmannsdorf","","52.219524","12.59719","2936844","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1452","","Tczew","Dirschau","54.086586","18.793658","3083426","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1454","","Dzisna","Disna; Дзісна","55.567987","28.213309","629055","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1455","","Dissen","Dissen am Teutoburger Wald; Tissene; Dissene; Disnam; Dissine","52.114457","8.205069","2936787","y","y","895","","First mentioned in 895. The settlement is characterised as 'oppidum' in 1284, 1556 as borough ('wigbold'). ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1456","","Dissenchen","","51.763578","14.393501","2936785","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1457","","Distelrath","","50.811972","6.515961","2936773","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1458","","Ditterke","Ditriche; Thittereke; Ditterike; Dytterke","52.334564","9.581039","2936748","y","y","1208","","The place was first mentioned in 1208.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1459","","Telmanowo","Dittlacken; Тельманово","54.578341","21.756131","11281237","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1460","","Ditzum","Tettesheim; Tiushem; Dytsum","53.315819","7.281138","2936703","y","y","900","","First mentioned in the 10th century.","","","","","","","","","","","","","","","","","","y","","","","","","","","","","","","","","",""
"1461","","Dyatlitsy","Djatlicy","59.696931","29.654053","563817","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1462","","Długa Goślina","","52.633642","17.033436","3100457","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1463","","Długie","","51.273776","22.646205","773248","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1464","","Dobropole","Dobberphul","53.859202","14.758257","3100324","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1465","","Dobbertin","","53.616205","12.077078","2936683","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1466","","Dobbin","","53.625868","12.028981","2936678","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1467","","Döbeln","Doblin; Dobelin","51.122234","13.123306","2936658","","y","891","","","","","","","","","","","","","","","","y","1500","","In the 16th century, there was a cattle market in Döbeln, which held some meaning for the Middle German region as well as the Erzgebirge. In the middle of the 16th century, tolls were raised in the electorate of Saxony and the Habsburg area and the electorate of Saxony was avoided by cattle traders, which led to concerns that the fair might decline.","","","","","","","","","","","","","","","",""
"1468","","Bad Doberan","Tabrahn; Doberan; Dobrum; Dobbran; DubbraanDoberam; Dobran; Dobrane","54.103505","11.902438","2953528","","y","1170","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1469","","Freienhufen","Dobistroh; Doberstroh","51.584323","13.959119","2925150","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1470","","Dobele","Doblehn; Dobbelin; Dubblene; Doblin","56.623633","23.275465","460312","","y","1289","","The 'Semgallenburg' (castle) was conquered by the Teutonic Order in 1289. The order built a new castle in 1335. In 1444 a fortfied borough ('Hakelwerk') was mentioned. ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1471","","Dobra","Dabern; Dobern; Dasdra; Taber; Daberr; Doberen","51.91599","18.615193","3100366","","y","1295","","The castle Daber is built on top of a 10-12 ct. castle mound. The settlement is first mentioned as castrum in 1295.","y","1331","","The exact date of the founding with Lübeck town law is unknown, it was first mentioned as a town in 1331 and in 1336 as a villa. The founding was confirmed in 1461.","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1472","","Dobratycze","","52.006553","23.613595","773155","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1473","","Dobre","","52.321743","21.680785","773149","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1474","","Döbrichau","","51.595785","13.13044","2936555","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1475","","Doberlug","Dobrilugk; Dobraluh; Dobralug; Doberluch; Dobriluh; Dobirlug; Doberlugk","51.609566","13.546188","2936632","","y","1005","","Rally-point of King Henry's II. troops against the Polish in 1005. In 1165 a Cistercian monastery is founded. In 1624 the monastery is mostly decayed and it is reconstructed into a castle.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1476","","Dobrzyń","Dobrin; Golub-Dobrzyń","53.110427","19.054044","3098925","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1478","","Dobrojewo","","52.645481","16.416092","3100334","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1479","","Dobrynka","","52.000858","23.479641","773113","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1480","","Dobryszyce","","51.144392","19.410932","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1481","","Dobrzyń nad Wisłą","Dobrzyń","52.637044","19.322575","3100266","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1483","","Dodendorf","Doddendorp, Duthontorp","52.039437","11.6164008","2936520","y","y","973","","Mention in a record by Otto II. in which estates are exchanged between the monastery of Fulda and the archbishop Adalbert of Magdeburg (MGH DD OII, nr. 64, S. 74-77).","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1484","","Doesburg","Dusburg; Dosburg; Doesborg; Doysburg; Doesborch; Doesborch ","52.01499","6.134222","2756772","","y","1025","","Earliest mention dates from 1025. ","y","1237","","Earliest mention as oppidum probably in 1204 or 1230. Granting of town privileges on 19 September 1237 by Otto II, count of Guelders.","","","","","","","","","","y","","","Between 1294/95 and at least 1543, Doesburg had two fairs. ","","","","","","","","","","","","","","","",""
"1485","","Doetinchem","Ductinghem; Duttinghem; Duttencheim;Dutthinchem; Duttinchem; Duttincheim; Duttinghem; Dutthekem; Doetekem; Dotechem; Deutekom; Dutinghem; Doetekum","51.965479","6.289181","2756767","","y","838","","Earliest mention dates from 838. ","y","1229","","Town privileges granted after 22 October 1229 and before 11 November 1231, by Otto II, count of Guelders and Zutphen. ","","","","","","","","","","y","","","Doetinchem had at least since 1294/95 a fair on St. Catharine’s Day (25 November). The duration of this fair is unknown.","","","","","","","","","","","","","","","",""
"1486","","Döhle","Tole; Dolethe; Dolede; Dolde; Dole; Doelde; Doll; Doel; Döle; Doehle","53.162551","10.040122","2936494","y","y","1135","","First mentioned in 1135.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1487","","Dohna","Donin; Donen","50.954832","13.857788","2936470","","y","1040","","","","","","","y","1548","","Secondary station of safe conduct ('Beigeleitsstelle') of Pirna.","","","","","","","","","","","","","","","","","","","","","","","","",""
"1488","","Döhren","Thurnethe; Thornete","52.427972","9.038549","2936456","y","y","1042","","The village was first mentioned in 1042.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1489","","Döhren","Thurnithi; Thornithe; Dornede; Dorrenten; Dornede; Dornde","52.335909","9.762293","2936452","y","y","990","","Year of first mention was 990.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1490","","Döhren","Dornede; Doerne; Dorrn; Dorne","52.339872","11.020024","2936457","y","y","1250","","First mention in the 13th century.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1491","","Durąg","Döhringen","53.613315","20.026567","772835","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1492","","Dokkum","Dockinga; Docken; Dockum; Tochingen; Dockingam; Tochkingen; Doccinga; Dockinge; Dochem; Docking; Doccum","53.325115","5.997001","2756759","","y","754","","First mentioned as a settlement existing in 754 in a fourteenth-century copy of an early ninth century document.","y","1298","","First mentioned as a town on 8 March 1298.","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1494","","Dolberg","Thuliberh; Thulberghe; Dulberge; Dolleberghe","51.708508","7.919335","2936430","","y","955","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1495","","Dolgelin","","52.49709","14.409017","2936417","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1496","","Dolgen","","53.354018","13.355111","2936413","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1497","","Długie","Dolgen","52.909882","15.663497","3100448","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1498","","Dolgen","","54.165643","12.815323","2936411","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1500","","Dołhobrody","","51.683196","23.513528","773079","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1501","","Dölitz","Doluz; Doliz; Delitz; Dolitz","51.287318","12.392593","2936399","y","y","1262","","First mentioned as manor, since 1451 knightly manor.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1502","","Dollern","Dolnere; Dalrinn","53.539005","9.545508","2936369","y","y","1105","","First mentioned in possession of the monastery Katlenburg in a charter from 1105. Earlier settlement since before 800 can be assumed.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1503","","Dolostsy","Doloscy; Долосцы","56.057394","28.713599","565472","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1504","","Dolsk","","51.986776","17.065987","3100231","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1505","","Dąbrowa","Dombrowa","51.231374","18.541376","3100845","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1506","","Dąbrowice Stare","Dombrowice","52.176864","18.509165","3100767","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1507","","Dąbrówka","Dombrowken","53.86482","21.744854","773520","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1508","","Domina","","50.482787","13.342774","3076583","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1509","","Dömitz","Dumeliz; Domeliz; Domelitz; Domaliz; Domenitz; Dömnitz; Domptz; Domptze; Dämz; Dömitz; Dömiz; Döms","53.141756","11.248841","2936292","","y","1190","","Originally a Slavic castle and settlement, known from the end of the 12th century. A priest is first mentioned in Dömitz in 1230.","y","1259","","Dömitz is first characterised as civitas in 1259. The Lübeck town law was granted by the dukes of Dannenberg and confirmed in 1505. The town was reconstructed as a fortress in 1559-65.","y","1237","","A toll in Dömitz is first mentioned in 1237. A toll on the Elbe of the dukes of Lüneburg in Dömitz and nearby Wehningen is clearly mentioned in 1372, when they were transferred to the duke of Mecklenburg. The river toll was specified at 4 Gulden, 1 rye bread, 1 loaf of bread and 2 buns for each passing ship in 1492. Toll registers exist for many years from 1431 onwards; these have been analysed by Nissen. A road toll was levied as well, as becomes clear from a report from 1688, in which it is stated that the road toll was levied at the mill Findenwirunshier when the road to Dömitz was flooded, which happened regularly.","","","","","","","","","","","","","","","","","","","","","","","","",""
"1510","","Dommelen","Dumellam; Domelle","51.354701","5.427551","2756739","","y","1297","","Earliest mention in 1297, in a eighteenth century copy.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1511","","Dommitzsch","Dumoz; Domuki; Thumvuz; Domuts; Domeniz; Damucz","51.639656","12.882732","2936280","","y","965","","","y","1465","","","y","1523","","Secondary station of safe conduct ('Nebengeleit') of Wettin in the system of safe conduct around Leipzig.","","","","","","","","","","","","","","","","","","","","","","","","",""
"1512","","Domnovo","Domnau; Domnowo; Домново","54.424803","20.826938","565384","","y","1324","","A castle of the Teutonic Order was mentioned in 1324, a settlement grew close to the castle hill, but the castle itself was destroyed in 1460","y","1400","","First granted town law in 1400, mentioned as a town for the first time in 1427, the handfast was renewed by Konrad von Egloffstein in 1480 with Kulm town law","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1513","","Domnitz","Tumelwitz","51.628693","11.836386","2936278","y","y","1137","","In 1137 a monastery farmyard ('Klosterhof') was founded in Domnitz, showing that the settlement already existed earlier.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1514","","Domisław","Domslaff","53.643737","17.030512","3100179","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1515","","Domasław","Domslau","51.011341","16.95634","3100199","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1516","","Dongen","ten Donghene","51.623368","4.935022","2756723","","y","1288","","Earliest mention in 1288, in a copy dating from 1349.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1517","","Dönges","","50.875131","10.160877","2936247","y","y","1222","","First mentioned in 1222.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1518","","Dodewaard","Doordewaard; Dodeuuero; Dodewero; Dudenwert; Dondenwerhe; Dudenwerthe; Dudenwerde; Doodewaardt; Doywaert","51.905661","5.651927","2756777","","y","1075","","Earliest mention dates from the late eleventh century. ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1519","","Doorn","Thorhem; Thornen; Darnen; Dornen; Doerne; Dorne; Doern; Doren","52.033356","5.345853","2756686","","y","918","","Earliest mention in 918-948, in a eleventh century copy. Next mention in 1126, in a falsification which probably dates from the twelfth century.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1520","","Doornspijk","Thornspiic; Thornspic; Dorenspic; Dorenspiic; Dornspijck; Doerspyck; Doornspijc; Doorspeet; Doorspeeth","52.418449","5.818679","2756677","","y","796","","Earliest mention dates from 796, in a tenth century copy. ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1521","","Dordrecht","Thuredrith; Thuredrit; Thuredrech; Durthric; Thurdrecht; Durdreth; Dordreth; Dordreecht; Dojrdre","51.815687","4.668586","2756669","","y","1064","","The first mention of Dordrecht dates from 1064, in a falsified copy from the first quarter of the twelfth century. The next mention dates from about 1151-1155.","y","1220","","Dordrecht was granted town rights in July 1220 by William I, count of Holland. However, it is probable that Dordrecht already held town(-like) privileges before 1200. In 1200, Dordrecht is mentioned as 'oppidum' and as 'stede'.","y","","","Exemption from tolls for Easterlings in 1313 who brought their wares directly to Dordrecht (HUB 2:232); preferable tariffs for Hanse merchants in 1358 and between 1388-1392 while the Kontor in Bruges was displaced. ","y","1299","1670","8.0","Count John of Holland established a staple market for oats in 1298, which was extended to all commodities on Merwede and Lek in 1299, confirmed in 1304. From 1388 compulsory market for all ships coming from the east to the Maas. Staple for Rhine whine of eight days in 1324, which became a general wine staple in 1401. The staple obligations became hard to enforce after the St Elizabeth's flood (1421), after which Dordrecht became located on an island, making it easier to bypass the city. In 1441, commodities coming downstream with destinations elsewhere had to be transferred to other ships, but did not have to be offered for sale any more. Hanseatic staple for Rhenish wines in 1452, together with Antwerp. Staple for wine and salt for Holland and Friesland in 1453. In the 16th century, there were growing conflicts with other cities about the staple, which led to Middelburg being freed from staple obligations in Dordrecht in 1533. The staple was still confirmed by the emperor in 1540, but restricted in the following year: only corn, legumes, salt, wine, lime, coal, millstones and iron transported on Lek, Merwede and Maas had to be brought to Dordrecht. Despite ever growing conflicts and violations of the staple, it remained in place until 1670.","","","","","","","","","","","","","y","","","","","","",""
"1522","","Dörenhagen","Indago; Dörrnhagen","51.672602","8.834121","2936159","","y","1222","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1523","","Dörfles","","50.281351","10.997711","2936051","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1524","","Dorfmark","Thormarca; Dorpmarke; Dorpmarkede","52.903085","9.769683","2936044","y","y","1006","","First mentioned in 1006.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1525","","Dörgenhausen","","51.417055","14.228553","2935847","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1526","","Dormagen","Dornomago; Durnomago","51.094645","6.840888","2935825","","y","300","","The settlement has been documented since Roman times.","","","","","y","1389","","1) The Duke of Jülich levied land toll and fee for save land conduct here from 1389. The escort money was collected by a special servant in the 15th century, so that toll and escort money existed independently of each other. Depending on the load, 2 to 3 white pfennigs per horse were collected as fee for save conduct. In 1389/93, an average of about 623 marks per year was collected. In 1398/99 it was about 420 marks. 2) In addition, the duke levied road toll in 1434, which was collected by a publican. In 1495, the tariff was 1 light shilling per wagon. ","","","","","","","","","","","","","","","","","","","","","","","","",""
"1527","","Dorna","","51.782872","12.711911","2935805","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1528","","Dornbock","","51.8414573","11.879611","2935745","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1529","","Dornburg","Dornburc; Thornburg; Thorenburch; Dornburg-Camburg","51.006669","11.666068","2935741","y","y","937","","Settlement grows out of a Karolingian castle at the border to Slawia in the 9th century. In the 10th/11th century royal court with village.","y","1343","","In the course of the 13th century, Dornburg developed into a town with Saxonian rights. Referred to as town ('stat') in 1343.","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1530","","Dorndorf","","51.006562","11.676307","2935728","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1531","","Dörnhagen","Durchain; Wernhershagen; Dorichhagen; Dorrenhagen; Dörnhayn","0","0","2935704","","y","1253","","First mentioned in 1253, in 1303 called a 'villa'. 1346 probably desolate.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1532","","Dörnholthausen","Dorenholthusen; Durrenholthusen","51.285114","7.990541","2935680","","y","1272","","First mentioned in 1272.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1533","","Dörnigheim","Turincheim; Turingeheim; Thurincheim; Dorenheim; Durnkeim; Durinkeym; Duringheim; Dörnigheim","0","0","2935669","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1534","","Dornitz","","51.638686","11.808947","2935666","y","y","1484","","In 1484 Dornitz is sold to the lords of Ammendorf by the archbishopric of Magdeburg. Before it was owned by the counts of Alsleben.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1535","","Dorogobuzh","Dorogobuž; Дорогобуж","54.914969","33.298742","565202","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1536","","Dorotheenhof","Fortkrug","53.695835","11.023313","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1537","","Tartu","Dorpat; Derpte","58.38012","26.72255","588335","","y","1030","","The Russians conquered the Estonian settlement in 1030. The castle was then expanded. In 1224-34 the German conquerors built a new castle that served as the centre of the diocese.","y","1248","","In 1248 the town received Riga town rights and also became a member of the Hanseatic League.","","","","","y","1562","","4.0","A privilege of King Sigismund III obliged every Russian travelling on his way to Livonian ports to offer his wares for sale in Dorpat for four days. Foreing merchants wishing to trade in Russia obliged to travel via Dorpat. ","","","","","","","","","","","","","","","","","","","",""
"1538","","Dörpen","Dorpun; Thorpun; Dorpen; Dorbun; Drope; Drop","52.965616","7.32245","2935597","y","y","890","","First mentioned in 890.","","","","","y","1576","","A toll of the bishop of Münster in Dörpen is mentioned in 1576, when it could not be leased. Likewise, in 1645 a toll collector could not be found as revenues had decreased due to the Thirty Years' War.","","","","","","","","","","","","","","","","","","","","","","","","",""
"1539","","Dörpum","Dørpum; Dorpen; Dorpum","54.650901","8.996423","2935584","","y","1462","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1540","","Dorstadt","Dorstedi; Dorstide; Dorstat; Dorsted; Dorstaht","52.099135","10.563407","2935532","y","y","1110","","First mentioned in 1110.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1541","","Dorste","Dorstedi; Dorstat; Torstad; Dorsta; Dorstedt","51.700769","10.153169","2935531","y","y","1015","","First mentioned in 1015.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1542","","Dorsten","Durstinon; Durstina; Dorstene; Durstene; Durstine; Dorstenium","51.660332","6.963916","2935530","","y","889","","First mentioned in 889/890. ","y","1251","","The Cologne archbishop Konrad von Hochstaden awarded Dorsten the town privileges of Dortmund on June 1, 1251","y","1332","","1) The archbishop of Cologne confirmed the river toll in Dorsten that his predecessor had introduced in 1332. The toll was divided into two parts in 1334: one part belonged to the archbishop, the other part to the town. The toll was raised from 1 Rader albus to 1/2 Taler in 1557, despite many protests. Citizens from Dorsten only had to pay the old fee of 1 Rader albus after 1577. More exact toll tariffs are known from 1625. 2) The Archbishop of Cologne also levied a bridge toll in 1371. ","","","","","","","","","","","","","","","","","","","","","","","","",""
"1543","","Dorstfeld","Durstvelde; Dorstfelde","51.512837","7.425551","2935527","","y","800","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1545","","Dortmund","Throtmanni; Trutmania; Thortmanni; Trutmenni; Drudmunde; Drotmanni; Throtmennia; Thrutminensis; Drutmunne; Drodminne; Trotmenni; Trutmundi; Trutmonia; Thertmanni; Therotmanni; Thertamanni; Trotmannin; Drodmannia; Drotmannia; Dredmonna; Trutimanni; Trytemanni; Trytemanne; Trutemanne; Trudimonia; Trotmanni; Thrutmannia; Trutmannin; Trotmannii; Drutmunne; Tremunge; Tramonia; Tremoigne; Dritmunden","51.514287","7.466708","2935517","","y","890","","First mentioned between 880 and 890. The origins of the settlement are unknown. 939 it is called 'urbs' and in 979 'oppidum'. ","y","1138","","The exact date when the town was established is unknown. But the earliest recods of granted privileges were between 1138 and 1152. Dortmund was an imperial town. ","y","1074","","Both the county of Dortmund and the city of Dortmund levied a land toll in 1074. In 1241, half of the fees and the county itself, then in 1431 completely, fell to the town of Dortmund. According to the tariffs of 1330/40, fees were only levied in February and from the end of March to the end of April. 1330/40 resulted in a tariff of 4 pfennigs per wine carriage (detailed tariff: RÜBEL, Urkundenbuch II, no. 456). In 1390 an annual yield of 9 marks 10 shillings, in 1391 one of 10 marks and 7½ shillings and in 1392 one of 11 marks and 12 pfennigs could be achieved. For further yields see source. ","","","","","","","","","","","","","","","","","","","","","","","","",""
"1546","","Dösen","Dosene; Doßen","51.286236","12.413333","2935475","y","y","1305","","First mentioned in 1305 as Dosene (PL).","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1547","","Drabenderhöhe","","50.944677","7.453093","2935402","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1548","","Drachhausen","","51.890692","14.323428","2935386","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1549","","Drawiny","Dragebrück","52.896747","15.962594","3100149","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1550","","Dragun","","53.707642","11.224378","2935365","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1552","","Drawsko Pomorskie","Dramburg; Drawnborch, Dravinburg; Drauenburg; Drahenburg; Dramborch; Dramborgh; Dramburch","53.531377","15.812617","3100139","","y","1250","","A settlement grew around the old wendish castle mound.","y","1297","","The Margraves of Brandenburg, Otto IV, Konrad and his children, granted the right to occupy the hamlet to the knight Arnold von Goltzen and his brothers in 1297","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1553","","Dranse","","53.199063","12.620147","2935328","","y","1233","","In 1233 property in Dranse is given to Amerlunxborn monastery. The monastery sells its property in 1430.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1554","","Drantum","Tranhem; Thrandhem; Dranhem; Draneham; Drantem","52.199702","8.322181","2935324","y","y","1000","","First mentioned in the 11th century.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1555","","Draschwitz","Droschenitz; Droskewitz; Traschitz","51.097451","12.177287","2935320","y","y","1286","","First mention as Droschenitz.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1556","","Drebkau","","51.658033","14.219221","2935298","","y","1301","","Probably first mention as Trebetz in 1301, first secure mention as Drebekowe in 1353.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1557","","Drechow","","54.140586","12.800336","2935293","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1558","","Dreenkrögen","","53.424676","11.502532","2935275","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1559","","Dreeßel","Dreßlo; Dreßle","52.979055","9.468853","2935267","y","y","1366","","First mentioned in 1366.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1560","","Drefahl","Drehfahl","53.287253","11.865016","2935262","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1561","","Drzeniów","Drehnow","52.170191","14.865613","3100059","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1562","","Dreikretscham","","51.221212","14.313381","2935149","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1563","","Dreilingen","Dreinlinge; Dreylinghe; Drelingk; Treling","52.920066","10.341884","2935128","y","y","1296","","First mentioned between 1296 and 1297.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1564","","Dreilützow","","53.532748","11.109343","2935127","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1565","","Drelsdorf","Trelstorp; Trelstrup; Trölstrup; Threlstrup; Drelstorpp; Trelstorp; Drelstorp; Drelstorf","54.605079","9.036947","2935056","","y","1352","","First mentioned in 1352.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1566","","Drempt","Thremete; Thremethe; Thrimethe; Drimethe; Dremethe; Dromthe; Dreemt; Dremp; Dremt","52.005787","6.164256","2756634","","y","1122","","Earliest mention 1122. ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1567","","Drengsted","Drengstedt","55.095959","8.836536","2622902","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1568","","Drensteinfurt","Stenvorde in regione Dreni; Stenforda; Steinuorde; Stenvordia super Drenum; Drenstenvorde; Dreynstenvorde","51.797023","7.74203","2935042","","y","865","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
